latitude,longitude,serial number,COMUNE
45.544388,8.779145,IT*ENX*E20XM32T7KK4AR00124*1,Castano Primo
45.615673,9.067791,IT*BEC*EH000751*1,Solaro
45.625816,8.919455,IT*ENX*E18XP22T5LB4U000334*2,Marnate
45.795696,8.569044,IT*ENX*E22BZ4071A*1,Ranco
45.6275735,8.7008652,IT*EMO*E2046*1,Vizzola Ticino
45.72459,8.602625,IT*BEC*EE002170*1,Castelletto sopra Ticino
45.864685,8.933186,IT*BEC*EE006704*1,Clivio
45.806429,8.860574,IT*ENX*E24BZ3747A*1,Varese
45.650463,8.807768,IT*BEC*EH000154*2,Gallarate
45.827778,8.669166,IT*ENX*E19XP22T3KK1AL00107*2,Bardello con Malgesso e Bregano
45.555129,8.975907,IT*ENX*E23XP22T3KK4AK472RJ*1,Nerviano
45.707933,8.819999,IT*ENX*E18XP22T3BB5U000262*1,Oggiona con Santo Stefano
45.6449,8.9973,IT*ENX*E18XP22T3KK4AH00219*1,Gerenzano
45.647156,8.88747,IT*PWY*EC0009*03*02,Solbiate Olona
45.607295,8.927431,IT*ENX*E19XM32T7KK4AR00015*2,Legnano
45.556612,8.772579,IT*ENX*E19XP22T3KK4AD00173*2,Castano Primo
45.795793,8.726218,IT*BEC*EE004228*1,Cazzago Brabbia
45.581282,9.06114,IT*BEC*EE005274*2,Garbagnate Milanese
45.588842,8.922981,IT*ENX*E22BZ2214A*2,Legnano
45.715584,8.860736,IT*BEC*EH001137*2,Castelseprio
45.782534,8.591429,IT*ENX*E21XM32T7KK3AR00069*3,Angera
45.782534,8.591429,IT*ENX*E21XM32T7KK3AR00069*1,Angera
45.782534,8.591429,IT*ENX*E21XM32T7KK3AR00069*2,Angera
