latitude,longitude,serial number,COMUNE
45.620674,8.758789,IT*ENX*ESN2312240082*1,Ferno
45.62473,8.711995,IT*F2X*EF2XITMXPC02*1,Ferno
45.624853,8.712122,IT*F2X*EF2XITMXPC51*1,Ferno
45.624778,8.712048,IT*F2X*EF2XITMXPC03*1,Ferno
45.62473,8.711995,IT*F2X*EF2XITMXPC02*2,Ferno
45.624778,8.712048,IT*F2X*EF2XITMXPC03*2,Ferno
45.624652,8.711917,IT*F2X*EF2XITMXPC01*2,Ferno
45.624853,8.712122,IT*F2X*EF2XITMXPC51*3,Ferno
45.624652,8.711917,IT*F2X*EF2XITMXPC01*1,Ferno
45.624853,8.712122,IT*F2X*EF2XITMXPC51*2,Ferno
45.651788,8.7855,IT*ENX*E19XP22T3KK4AD00019*1,Gallarate
45.644101,8.817649,IT*BEC*EE002465*2,Gallarate
45.661632,8.779801,IT*EMO*E2087*1,Gallarate
45.666486,8.795239,IT*EMO*E2079*3,Gallarate
45.650463,8.807768,IT*BEC*EH000154*3,Gallarate
45.654729,8.798966,IT*EMO*E2085*1,Gallarate
45.65948,8.797686,IT*ENX*E21XP22T3KKJAK00128*2,Gallarate
45.666486,8.795239,IT*EMO*E2079*1,Gallarate
45.650463,8.807768,IT*BEC*EH000154*2,Gallarate
45.644084,8.817669,IT*BEC*EE002463*1,Gallarate
45.644139,8.817591,IT*BEC*EH000075*1,Gallarate
45.65948,8.797686,IT*ENX*E21XP22T3KKJAK00128*1,Gallarate
45.666486,8.795239,IT*EMO*E2079*2,Gallarate
45.644139,8.817591,IT*BEC*EH000075*3,Gallarate
45.651788,8.7855,IT*ENX*E19XP22T3KK4AD00019*2,Gallarate
45.644139,8.817591,IT*BEC*EH000075*2,Gallarate
45.650463,8.807768,IT*BEC*EH000154*1,Gallarate
45.6531,8.811274,IT*EMOE1526,Gallarate
45.644084,8.817669,IT*BEC*EE002463*2,Gallarate
45.677751,8.799839,IT*EMO*E2083*1,Gallarate
45.6491337,8.797476,IT*EMO*E2084*1,Gallarate
45.644101,8.817649,IT*BEC*EE002465*1,Gallarate
45.642922,8.792344,IT*A2A*ESN2000226*3,Gallarate
45.642922,8.792344,IT*A2A*ESN2000333*3,Gallarate
45.642922,8.792344,IT*A2A*ESN2000333*4,Gallarate
45.642922,8.792344,IT*A2A*ESN2000226*4,Gallarate
45.642922,8.792344,IT*A2A*ESN2000333*1,Gallarate
45.642922,8.792344,IT*A2A*ESN2000333*2,Gallarate
45.642922,8.792344,IT*A2A*ESN2000226*2,Gallarate
45.6707,8.76401,IT*PWY*EC0037*01*01,Gallarate
45.672897,8.759015,IT*GES*EPAMUB*1,Gallarate
45.657861,8.791472,IT*GES*EPKUDZ*1,Gallarate
45.657861,8.791472,IT*GES*EPKUDZ*2,Gallarate
45.672897,8.759015,IT*GES*EPAMUB*2,Gallarate
45.6707,8.76401,IT*PWY*EC0037*01*02,Gallarate
45.659428,8.808666,IT*REVETACR2244822S0294*1,Gallarate
45.659428,8.808444,IT*REVETACR2244822S0304*1,Gallarate
